Country,Value
Australia,180275.3999
Belgium,676044.5527
Brazil,37960.10076
Canada,1214360.553
Chile,6426.668597
China,423163401.5
Denmark,441300.3624
Europe,233071332.1
Finland,302514.0902
France,3207611.815
Germany,4385981.304
Greece,28486.92997
Iceland,100125.6089
India,46857593.57
Indonesia,287
Italy,782916.6521
Japan,2526559.772
Korea,1226313.18
Mexico,47863.34081
Netherlands,2211145.865
New Zealand,135261.4206
Norway,2865214.928
Other Europe,942578.2714
Poland,123613.9084
Portugal,299575.5346
Rest of the world,102419031.7
South Africa,10325.62817
Spain,600970.2442
Sweden,1174359.161
Switzerland,575091.1319
Thailand,5220
USA,121633133.3
United Kingdom,2984083.264
World,941838855.8
